username,password,voice,assigned_subject,chat_history,introductory_macroeconomics_level,introductory_microeconomics_level,statistics_for_economics_level,mathematics_textbook_for_class_ix_level,mathematics_textbook_for_class_x_level,mathematics_textbook_for_class_xi_level,mathematics_textbook_for_class_xii_part_i_level,mathematics_textbook_for_class_xii_part_ii_level
user001,user001,shimmer,Statistics For Economics,yes,Advanced,Beginner,Beginner,Intermediate,Advanced,Beginner,Beginner,Advanced
user002,user002,fable,MATHEMATICS Textbook for Class IX,no,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Intermediate,Advanced
user003,user003,alloy,MATHEMATICS Textbook for Class XI,no,Beginner,Beginner,Beginner,Advanced,Advanced,Intermediate,Advanced,Intermediate
user004,user004,alloy,Statistics For Economics,no,Intermediate,Advanced,Intermediate,Advanced,Advanced,Advanced,Beginner,Advanced
user005,user005,alloy,Statistics For Economics,no,Beginner,Advanced,Advanced,Beginner,Intermediate,Beginner,Beginner,Beginner
user006,user006,alloy,MATHEMATICS Textbook for Class XI,yes,Intermediate,Advanced,Beginner,Beginner,Intermediate,Advanced,Advanced,Advanced
user007,user007,fable,MATHEMATICS Textbook for Class XI,no,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Advanced,Intermediate
user008,user008,echo,Statistics For Economics,no,Intermediate,Beginner,Advanced,Advanced,Advanced,Advanced,Advanced,Beginner
user009,user009,echo,MATHEMATICS Textbook for Class XII PART II,yes,Advanced,Advanced,Intermediate,Advanced,Beginner,Intermediate,Intermediate,Advanced
user010,user010,fable,MATHEMATICS Textbook for Class XII PART I,no,Advanced,Beginner,Beginner,Advanced,Beginner,Intermediate,Intermediate,Advanced
user011,user011,alloy,Introductory Macroeconomics,yes,Advanced,Beginner,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Advanced
user012,user012,fable,Introductory Macroeconomics,no,Advanced,Intermediate,Beginner,Beginner,Advanced,Intermediate,Advanced,Beginner
user013,user013,fable,MATHEMATICS Textbook for Class XII PART II,no,Advanced,Advanced,Advanced,Beginner,Intermediate,Advanced,Intermediate,Advanced
user014,user014,alloy,MATHEMATICS Textbook for Class XII PART I,yes,Intermediate,Beginner,Beginner,Intermediate,Advanced,Intermediate,Intermediate,Beginner
user015,user015,alloy,Statistics For Economics,no,Advanced,Advanced,Advanced,Advanced,Beginner,Beginner,Advanced,Intermediate
user016,user016,onyx,MATHEMATICS Textbook for Class IX,yes,Advanced,Intermediate,Advanced,Beginner,Intermediate,Beginner,Beginner,Beginner
user017,user017,shimmer,Introductory Macroeconomics,yes,Advanced,Intermediate,Advanced,Advanced,Intermediate,Advanced,Beginner,Advanced
user018,user018,shimmer,Introductory Macroeconomics,yes,Intermediate,Advanced,Advanced,Beginner,Advanced,Intermediate,Intermediate,Beginner
user019,user019,fable,MATHEMATICS Textbook for Class X,no,Advanced,Advanced,Intermediate,Beginner,Advanced,Beginner,Advanced,Intermediate
user020,user020,alloy,MATHEMATICS Textbook for Class XI,yes,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Beginner
user021,user021,onyx,MATHEMATICS Textbook for Class XII PART I,yes,Advanced,Advanced,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Advanced
user022,user022,alloy,MATHEMATICS Textbook for Class XI,yes,Beginner,Advanced,Beginner,Intermediate,Advanced,Advanced,Beginner,Advanced
user023,user023,nova,MATHEMATICS Textbook for Class XII PART II,no,Advanced,Beginner,Intermediate,Advanced,Advanced,Advanced,Intermediate,Advanced
user024,user024,fable,Statistics For Economics,yes,Advanced,Intermediate,Beginner,Advanced,Intermediate,Advanced,Beginner,Intermediate
user025,user025,shimmer,MATHEMATICS Textbook for Class XI,yes,Beginner,Intermediate,Intermediate,Beginner,Advanced,Beginner,Beginner,Beginner
user026,user026,fable,Introductory Macroeconomics,no,Intermediate,Advanced,Beginner,Advanced,Beginner,Intermediate,Intermediate,Beginner
user027,user027,fable,MATHEMATICS Textbook for Class IX,yes,Intermediate,Beginner,Intermediate,Beginner,Intermediate,Advanced,Intermediate,Advanced
user028,user028,fable,MATHEMATICS Textbook for Class XI,no,Intermediate,Beginner,Advanced,Beginner,Beginner,Intermediate,Beginner,Advanced
user029,user029,onyx,Introductory Macroeconomics,yes,Beginner,Beginner,Advanced,Advanced,Intermediate,Advanced,Advanced,Advanced
user030,user030,echo,MATHEMATICS Textbook for Class IX,yes,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,Beginner,Advanced,Intermediate
